name,loc,tweet,time,rt,rt_name
 Heather Rankin, Kji (Halifax), RT @MatthewMooreHFX: I always LOL at the suggested route to walk home to Cape Breton from Halifax ,23-02-2019 04:31,,
,,,,,
 Dadga~Of Tuatha De Danann," Montrxe9al, Quxe9bec", RT @Bill_Owen: @trapdinawrpool That fire in Halifax that killed most of a Syrian family. The fire chief said that once the fire get through,23-02-2019 04:31,,
,,,,,
 trapdinawrpool, Etobicoke, RT @Bill_Owen: @trapdinawrpool That fire in Halifax that killed most of a Syrian family. The fire chief said that once the fire get through,23-02-2019 04:30,,
,,,,,
 William Owen," Moscow, Russia", @trapdinawrpool That fire in Halifax that killed most of a Syrian family. The fire chief said that once the fire ge ,23-02-2019 04:30,,
,,,,,
 Aubrey Harris, Toronto, RT @NovaScotiaAFL: Sunday indoor footy with the Halifax Dockers AFC. 11-1pm. Sackville High School. Guys and Girls. All skill levels. See y,23-02-2019 04:30,,
,,,,,
 Jacob Pase, , Was gifted a sub to @Halifax U0001f64cU0001f3fb,23-02-2019 04:29,,
,,,,,
 Hannah Landry, , RT @ppforumca: Find out more about the dangers of #deepfakes and other  media at a free lecture by @carljackmiller on March 6 at,23-02-2019 04:29,,
,,,,,
 CaringCounts.ca,  Global, @gigglesyee @spurs @Raptors Nothing like scrolling through the Raps tweets to see the big smile of Jeff Yee.  Great ,23-02-2019 04:29,,
,,,,,
 Maritime Hockey, ," Halifax boy Liam O'Brien recorded 2 assists tonight in a Hershey Bears win, Giving him a total of 25 points this se ",23-02-2019 04:28,,
,,,,,
 Huntsville Traveler, ," Halifax, Nova Scotia, Canada from Nashville or Atlanta for $284 RT",23-02-2019 04:28,,
,,,,,
 U0001f4daKnowledge is power.U0001f397, Outside purgatory; near hell," RT @JustinTrudeau: In times of tragedy, Canadians are there for each other. ",23-02-2019 04:27,,
,,,,,
 Rob LeForte," Ottawa, ON, Canada", RT @TareqHadhad: The family needs us now more than ever. The funeral for the seven Barho children will be held Saturday at the Cunard Cent,23-02-2019 04:24,,
,,,,,
 Heather Anne, from CT / studied in Montreal," RT @JustinTrudeau: Words fail when children are taken from us too soon, especially in circumstances like this. My heart goes out to the sur",23-02-2019 04:21,,
,,,,,
 Naveed Khan, United Kingdom," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 04:20,,
,,,,,
 Laurie Hill, ," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 04:18,,
,,,,,
 Logan Campbell," Sydney, NS, Cape Breton", RT @mattdagley: #Halifax ,23-02-2019 04:17,,
,,,,,
 ALASKAN TUSH PEOPLE (2X THE BEEF)," Santa Mira, CA", @MLGJess Me either but this dude is something else. Halifax seems like the Alabama of Canada,23-02-2019 04:17,,
,,,,,
 Vanessa Gillieo," Nova Scotia, Canada", RT @gemini0968: @TheEllenShow could you ask your viewers to put Teddy bears on their steps in memory of the 7 children lost in a house fire,23-02-2019 04:16,,
,,,,,
 Martin Lahaie, Gatineau," xc0 moins d'une grosse surprise demain des SeaDogs vs Halifax, les Olympiques seront officiellement des sxe9ries de la ",23-02-2019 04:16,,
,,,,,
 #SandyBeachMarketingU0001f3d6," Halifax, Nova Scotia", Is there such a thing in #Halifax? #adulteducation ,23-02-2019 04:15,"Next Adult 55+ lecture Wed. Feb27! Cindie Smith, Caregivers NS, will present ""Economic Security of Women in Canada: ",22-02-2019 19:38
,,,,,
 Katerina Akrivo, ," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 04:14,,
,,,,,
 BGirl, , @HonAhmedHussen @JustinTrudeau @blackvotecanada  think it interesting the prime minister is ostensibly here to ,23-02-2019 04:14,,
,,,,,
 Sophanas, , RT @mheavyhead: the gofundme for the Family in Halifax.,23-02-2019 04:10,,
,,,,,
 nuns with guns, , RT @AndyFillmoreHFX: Lots of businesses in #Halifax are donating profits to the Barho family this week.Here is a THREAD of the ones I kno,23-02-2019 04:10,,
,,,,,
 Kathy Heskett," Halifax, Nova Scotia, Canada", @coachoncall Grateful for The way that Halifax is coming together to support the Barho family &amp; prayers for healing for the first responders,23-02-2019 04:09,,
,,,,,
 Vanessa Gillieo," Nova Scotia, Canada", RT @HuffPostCaLiv: #Bears4BarhoChildren teddy bear vigil honours 7 kids killed in N.S. fire ,23-02-2019 04:08,,
,,,,,
 Lily H, Turtle Island," ""Despite harm to Puget Sound orcas, Canada should expand #TransMountain #pipeline, energy board says"" #NEB ",23-02-2019 04:07,Profits - it's all about profits! The National Energy Board acknowledged that the pipeline expansion would  be detr ,23-02-2019 03:05
,,,,,
 WX Halifax," Halifax, NS, Canada", Sat midnight: Temp -5.8 C; Windchill -11; Wind NW 14 km/h; Humidity 71%; Press 102.5 kPa / rising.,23-02-2019 04:07,,
