name,loc,tweet,time,rt,rt_name
 bean, WINTERFELL," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 23:24:51,,
,,,,,
 Halifax Jobs," Halifax, Nova Scotia"," Budget Officer (Financial Services Officer 2): Nova Scotia Government (Halifax, NS): ""the Financial Analyst you wil ",2019-02-25 23:23:55,,
,,,,,
 Caroline Avrsb, , Black entrepreneurs launch inaugural  Story artisan market in Halifax ,2019-02-25 23:23:36,,
,,,,,
 John Campbell," Halifax, Nova Scotia"," RT @battisctv: Relatives of Barho family arriving in Halifax from overseas tonight, one week after fire took lives of 7 children. @CTVNews",2019-02-25 23:22:58,,
,,,,,
 Melanie Little," Halifax, Nova Scotia", TedxHalifax @Dalhousie University 9 APR 2019!Celebrating Halifax Locals with Ideas worth spreading. Honoured to be ,2019-02-25 23:22:17,,
,,,,,
 Sprog, NGC 2770, I appreciate that #halifax wants to raise my credit card limit but as long @woswiss or @bucherer_uk doesn't wants t ,2019-02-25 23:21:59,,
,,,,,
 History@X," Antigonish, Nova Scotia", Children book on Atlantic slave trade reparations hits Halifax shelves ,2019-02-25 23:21:42,,
,,,,,
 Nick (@hfxcantdrive)," Nova Scotia, Canada"," RT @TheStubbornGoat: February 25, 2019For Immediate Release PRESS RELEASE Stubborn Goat Beer Garden Team Wins Develop Nova Scotia Ten",2019-02-25 23:21:15,,
,,,,,
 Angie Seth," Toronto, Canada", RT @HeidiPCTV: Some members of the Barho family are in #Halifax and more hopefully coming soon.The latest from my @CTVAtlantic colleague @N,2019-02-25 23:21:11,,
,,,,,
 Nick (@hfxcantdrive)," Nova Scotia, Canada", RT @robinsk1971: Who will be the top fundraiser at this year Halifax Polar Plunge? The crew @hfxfire smoked the team @HfxRegPolice in 201,2019-02-25 23:20:54,,
,,,,,
 Khalieka Curry, ," RT @MrRDPierce: Students interpreting primary source Freedmen Bureau documents of the Halifax County, NC field office via the virtual @Sm",2019-02-25 23:20:48,,
,,,,,
 Jey Gorman," Nova Scotia, Canada"," RT @DurtyNellysPub: So you think you know stuff? It Monday, and that means TRIVIA NIGHT! Join us at 8pm. Teams of six, lots of great priz",2019-02-25 23:20:11,,
,,,,,
 Lana Stewart, Cubicle," RT @CBCArts: At @ICEHOTEL_Sweden, two Halifax artists have been working hard...to honour their cat:  ",2019-02-25 23:19:38,,
,,,,,
 Halifax Jobs," Halifax, Nova Scotia"," Government Enforcement Agent: Nova Scotia Government (Halifax, NS): ""a member of the Public Safety Investigative Se ",2019-02-25 23:18:54,,
,,,,,
 Enqi Weng, Singapore and Wurundjeri Land," RT @cssr_executive: CALL FOR PAPERS for 2019 International Conference on Religion &amp; Film. June 12-14, 2019 at Saint Mary University in Ha",2019-02-25 23:18:16,,
,,,,,
 U0001f480," New York, USA", helenadarlingtattoo: Helena darling. Darling tattoos. Halifax nova scotia. ,2019-02-25 23:17:49,,
,,,,,
